do I,992,,,How do I,511,,,can I do with,168
is the,797,,,I need to,338,,,What can I do,132
can I,783,,,I want to,293,,,I would like to,122
I am,770,,,how do i,239,,,I am looking for,111
I need,626,,,How can I,216,,,I do with a,106
How do,621,,,would like to,200,,,Where can I find,86
need to,479,,,can I do,192,,,to post a job,81
do i,442,,,What is the,189,,,should I wear to,79
how do,442,,,how do I,180,,,I am an employer,76
want to,421,,,I do with,172,,,do I need to,74
a job,416,,,what is the,162,,,What should I wear,72
financial aid,416,,,I am an,154,,,major What can I,61
What is,392,,,can I find,153,,,I do with an,60
can i,360,,,Where can I,144,,,I need help with,59
for a,360,,,do with a,139,,,How do I get,57
for the,342,,,I am a,139,,,interview What should I,55
I want,328,,,post a job,138,,,what can I do,48
career fair,325,,,I am looking,137,,,would like to post,48
looking for,324,,,am looking for,136,,,with a major in,46
what is,314,,,I would like,136,,,would like to know,43
I do,295,,,What can I,136,,,how do i get,43
I have,291,,,I need help,122,,,am looking for a,42
the career,280,,,Do you have,108,,,do with a major,40
with a,272,,,What should I,106,,,and would like to,39
like to,254,,,how can i,103,,,I am trying to,38
How can,248,,,to post a,103,,,with a degree in,37
should I,242,,,looking for a,98,,,can i do with,37
I get,225,,,do I get,97,,,like to post a,36
would like,223,,,the career fair,96,,,to make an appointment,36
an appointment,222,,,to apply for,96,,,I want to know,36
I find,219,,,make an appointment,90,,,Do you have a,35
do with,218,,,am an employer,87,,,where can i find,33
apply for,216,,,Is there a,86,,,what can i do,32
are the,214,,,do I need,86,,,career fair When is,32
have a,211,,,should I wear,86,,,How can I get,31
do you,208,,,I wear to,86,,,How do I find,31
in the,196,,,Who is the,85,,,fair When is the,31
you have,195,,,What are the,82,,,How can I find,31
Do you,188,,,need help with,79,,,make an appointment with,31
to the,177,,,i need to,79,,,where can I find,31
to know,177,,,the career center,78,,,I wear to a,30
need help,172,,,can I get,78,,,the financial aid office,30
am an,170,,,is the career,77,,,do I apply for,30
am looking,170,,,When is the,76,,,I make an appointment,30
Where can,170,,,Where is the,76,,,do with an Economics,29
an employer,169,,,How do i,75,,,the career consultant for,29
how to,168,,,i want to,75,,,i do with a,29
Who is,167,,,where can i,70,,,do i need to,29
post a,166,,,I have a,68,,,I am interested in,29
to get,165,,,my financial aid,68,,,I was wondering if,29
an internship,165,,,do you have,67,,,is the career consultant,29
am a,164,,,I need a,66,,,to a job interview,28
to post,163,,,Where do I,65,,,wear to a job,28
how can,162,,,for financial aid,65,,,I post a job,28
i need,162,,,an appointment with,64,,,with an Economics major,28
